id,product_sku,product_name,sales_date,week,month,partner,partner_location,sales_qty,inventory_ending,sell_through_rate_pct,days_of_supply,stockout_flag,alert_status,replenishment_lead_time,target_service_level,actual_service_level
STA001,SKU-7891,Madison Reed Premium Color Kit,2024-02-05,2024-W06,2024-02,Target,Target DC - Minneapolis,3250,18500,14.9,5.7,N,Warning,5,95,94.2
STA002,SKU-7891,Madison Reed Premium Color Kit,2024-02-05,2024-W06,2024-02,Amazon,Amazon FC - Phoenix,4100,21000,16.3,5.1,N,Critical,3,98,96.8
STA003,SKU-7891,Madison Reed Premium Color Kit,2024-02-05,2024-W06,2024-02,Walmart,Walmart DC - Bentonville,2950,16200,15.4,5.5,N,Warning,4,95,93.5
STA004,SKU-4523,Color Reviving Gloss,2024-02-05,2024-W06,2024-02,Target,Target DC - Minneapolis,2800,14500,16.2,5.2,N,Warning,5,95,95.1
STA005,SKU-4523,Color Reviving Gloss,2024-02-05,2024-W06,2024-02,Amazon,Amazon FC - Phoenix,3500,17800,16.4,5.1,N,Critical,3,98,97.3
STA006,SKU-4523,Color Reviving Gloss,2024-02-05,2024-W06,2024-02,Walmart,Walmart DC - Bentonville,2500,13100,16.0,5.2,N,Warning,4,95,94.8
STA007,SKU-9021,Root Retouch Kit,2024-02-05,2024-W06,2024-02,Target,Target DC - Minneapolis,2350,11800,16.6,5.0,N,Critical,5,95,92.7
STA008,SKU-9021,Root Retouch Kit,2024-02-05,2024-W06,2024-02,Amazon,Amazon FC - Phoenix,3050,15600,16.3,5.1,N,Critical,3,98,96.5
STA009,SKU-9021,Root Retouch Kit,2024-02-05,2024-W06,2024-02,Walmart,Walmart DC - Bentonville,2050,10200,16.7,5.0,N,Critical,4,95,93.1
STA010,SKU-7891,Madison Reed Premium Color Kit,2024-02-12,2024-W07,2024-02,Target,Target DC - Minneapolis,3420,19200,15.1,5.6,N,Warning,5,95,94.8
STA011,SKU-7891,Madison Reed Premium Color Kit,2024-02-12,2024-W07,2024-02,Amazon,Amazon FC - Phoenix,4280,22100,16.2,5.2,N,Warning,3,98,97.1
STA012,SKU-7891,Madison Reed Premium Color Kit,2024-02-12,2024-W07,2024-02,Walmart,Walmart DC - Bentonville,3100,17000,15.4,5.5,N,Warning,4,95,94.2
