kpi_category,kpi_name,current_value,target_value,variance_pct,trend,ytd_performance,prior_year_value,unit,status,owner,last_updated
Demand,Forecast Accuracy MAPE,6.5,5.0,-30.0,Improving,7.2,8.5,%,Warning,Demand Planning,2024-02-05
Demand,Consensus Cycle Time,3.5,3.0,-16.7,Stable,3.4,3.8,days,OK,Demand Planning,2024-02-05
Supply,Production Plan Attainment,96.5,98.0,-1.5,Declining,97.2,95.8,%,Warning,Manufacturing,2024-02-05
Supply,MRP Exception Messages,245,150,-63.3,Worsening,198,320,count,Critical,Supply Planning,2024-02-05
Inventory,Total Inventory Value,12.5,11.0,-13.6,Stable,12.3,13.2,M USD,Warning,Inventory Mgmt,2024-02-05
Inventory,Inventory Turns,10.2,12.0,15.0,Improving,9.8,9.2,turns/year,OK,Inventory Mgmt,2024-02-05
Inventory,Days on Hand,35.8,30.0,-19.3,Declining,37.2,39.6,days,Warning,Inventory Mgmt,2024-02-05
Inventory,Obsolete Stock Value,0.85,0.50,-70.0,Stable,0.82,1.2,M USD,Critical,Inventory Mgmt,2024-02-05
Procurement,Component Shortage Count,4,0,0,Critical,6,12,count,Critical,Procurement,2024-02-05
Procurement,PO On-Time Delivery,92.5,95.0,2.6,Stable,91.8,89.5,%,Warning,Procurement,2024-02-05
Procurement,Supplier Lead Time Variance,2.5,1.0,-150.0,Worsening,2.2,3.5,days,Warning,Procurement,2024-02-05
Customer Service,Order Fill Rate,94.5,98.0,3.6,Improving,93.2,91.8,%,Warning,Customer Service,2024-02-05
Customer Service,Perfect Order Rate,89.2,95.0,6.1,Stable,88.5,86.3,%,Warning,Customer Service,2024-02-05
Customer Service,Stockout Incidents,8,2,-300.0,Improving,12,18,count,Critical,Customer Service,2024-02-05
Financial,Working Capital,8.5,7.0,-21.4,Stable,8.3,9.2,M USD,Warning,Finance,2024-02-05
Financial,Cash-to-Cash Cycle,42,35,-20.0,Improving,45,52,days,Warning,Finance,2024-02-05
